id,ws,plot,s_depth_cm,date,time,wt_mg,c_per,n_per
Santee 50 0-10 LL-1,77,50,0_10,9/13/2021,10:08,45.1,1.892700911,0.018501449
Santee 50 10-20 LL-2,77,50,10_20,9/13/2021,10:13,45.6,1.201384664,0
Santee 50 20-30 LL-3,77,50,20_30,9/13/2021,10:19,41.4,1.349543333,0
Santee 50 30-50 LL-4,77,50,30_50,9/13/2021,10:25,45.5,0.781181753,0
Santee 50 50-75 LL-5,77,50,50_75,9/13/2021,10:31,49.7,0.404710829,0
Santee 50 75-100 LL-6,77,50,75_100,9/13/2021,10:36,46.3,0.276115865,0
Santee 80 0-10 LL-7,77,80,0_10,9/13/2021,10:42,48.3,2.8780303,0.05196492
Santee 80 10-20 LL-8,77,80,10_20,9/13/2021,10:48,41.9,1.550423861,0.003920223
Santee 80 20-30 LL-9,77,80,20_30,9/13/2021,10:54,45.3,0.934775829,0
Santee 80 30-50 LL-10,77,80,30_50,9/13/2021,10:59,43.5,0.375916123,0
Santee 80 50-75 LL-11,77,80,50_75,9/13/2021,11:05,48.3,0.28823933,0
Santee 80 75-100 LL-12,77,80,75_100,9/13/2021,11:17,43.7,0.681908667,0
Santee 90 0-10 LL-13,77,90,0_10,9/13/2021,11:22,46.6,3.835650921,0.094498619
Santee 90 10-20 LL-14,77,90,10_20,9/13/2021,11:28,47.7,1.763590932,0.01894665
Santee 90 20-30 LL-15,77,90,20_30,9/13/2021,11:34,50.6,1.283497334,0.003872547
Santee 90 30-50 LL-16,77,90,30_50,9/13/2021,11:40,42.2,0.817712903,0
Santee 90 50-75 LL-17,77,90,50_75,9/13/2021,11:45,47.3,1.047166944,0
Santee 90 75-100 LL-18,77,90,75_100,9/13/2021,11:51,45.9,1.044407487,0
Santee 100 0-10 LL-19,77,100,0_10,9/13/2021,11:57,50.4,3.551344156,0.069449075
Santee 100 10-20 LL-20,77,100,10_20,9/13/2021,12:03,49.2,0.943656623,0
Santee 100 20-30 LL-21,77,100,20_30,9/13/2021,12:08,48.4,0.422981888,0
Santee 100 30-50 LL-22,77,100,30_50,9/13/2021,12:14,47.2,0.293728381,0
Santee 100 50-75 LL-23,77,100,50_75,9/13/2021,12:45,50.6,0.221310973,0
Santee 100 75-100 LL-24,77,100,75_100,9/13/2021,12:50,42.1,0.171141833,0
Santee 100 75-100 LL-25,77,100,75_100,9/13/2021,12:56,49,0.189752877,0
Santee 100 75-100 LL-26,77,100,75_100,9/13/2021,13:02,49.9,0.176214635,0
Santee 110 0-10 LL-27,77,110,0_10,9/13/2021,13:08,52.9,4.296739578,0.136407077
Santee 110 10-20 LL-28,77,110,10_20,9/13/2021,13:13,42.5,0.908878922,0
Santee 110 20-30 LL-29,77,110,20_30,9/13/2021,13:25,48.4,0.575393021,0
Santee 110 30-50 LL-30,77,110,30_50,9/13/2021,13:31,50.3,0.349386603,0
Santee 110 50-75 LL-31,77,110,50_75,9/13/2021,13:36,50.6,0.372863621,0
Santee 110 75-100 LL-32,77,110,75_100,9/13/2021,13:42,48.8,0.269592762,0
Santee 134 0-10 LL-33,77,134,0_10,9/13/2021,13:48,46.4,7.104755402,0.222256765
Santee 134 10-20 LL-34,77,134,10_20,9/13/2021,14:00,48.6,1.478423595,0.010106904
Santee 134 20-30 LL-35,77,134,20_30,9/13/2021,14:05,50.3,0.902582765,0.002740298
Santee 134 30-50 LL-36,77,134,30_50,9/13/2021,14:11,41.4,0.790383637,0
Santee 134 50-75 LL-37,77,134,50_75,9/13/2021,14:17,44.2,0.422840327,0
Santee 134 75-100 LL-38,77,134,75_100,9/13/2021,14:23,51.4,0.330693752,0
Santee 160 0-10 LL-39,77,160,0_10,9/13/2021,14:28,46.5,5.39710331,0.154163107
Santee 160 10-20 LL-40,77,160,10_20,9/13/2021,14:40,49.2,1.276642919,0.002476162
Santee 160 20-30 LL-41,77,160,20_30,9/13/2021,14:46,44.3,0.661984324,0
Santee 160 30-50 LL-42,77,160,30_50,9/13/2021,14:51,46.6,0.557819128,0
Santee 160 50-75 LL-43,77,160,50_75,9/13/2021,14:57,46.6,0.440618157,0
Santee 160 75-100 LL-44,77,160,75_100,9/13/2021,15:03,51.5,0.313149989,0
Santee 166 0-10 LL-45,77,166,0_10,9/14/2021,9:48,47.2,7.745807648,0.301836818
Santee 166 10-20 LL-46,77,166,10_20,9/14/2021,9:54,48,1.855644941,0.050711256
Santee 166 20-30 LL-47,77,166,20_30,9/14/2021,10:00,44.8,1.310144663,0.0212465
Santee 166 30-50 LL-48,77,166,30_50,9/14/2021,10:05,49.9,0.716338277,0.00082052
Santee 166 50-75 LL-49,77,166,50_75,9/14/2021,10:11,51.4,0.414550185,0
Santee 166 75-100 LL-50,77,166,75_100,9/14/2021,10:17,49.8,0.360601008,0
Santee 166 75-100 LL-51,77,166,75_100,9/14/2021,10:28,44.1,0.351716369,0
Santee 166 75-100 LL-52,77,166,75_100,9/14/2021,10:34,45.8,0.351222932,0
Santee 180 0-10 LL-53,77,180,0_10,9/14/2021,10:40,51.6,6.362355709,0.215550467
Santee 180 10-20 LL-54,77,180,10_20,9/14/2021,10:46,51.8,2.288103342,0.067212567
Santee 180 20-30 LL-55,77,180,20_30,9/14/2021,10:51,46.1,1.420901299,0.023104567
Santee 180 30-50 LL-56,77,180,30_50,9/14/2021,11:03,45.1,1.476603389,0.023545431
Santee 180 50-75 LL-57,77,180,50_75,9/14/2021,11:09,46.8,0.939513266,0
Santee 180 75-100 LL-58,77,180,75_100,9/14/2021,11:14,49.8,0.701904714,0
Santee 190 0-10 LL-59,77,190,0_10,9/14/2021,11:20,49.9,4.986053467,0.137290537
Santee 190 10-20 LL-60,77,190,10_20,9/14/2021,11:26,47.6,1.154430032,0
Santee 190 20-30 LL-61,77,190,20_30,9/14/2021,11:32,46.9,0.649059832,0
Santee 190 30-50 LL-62,77,190,30_50,9/14/2021,11:43,49.7,0.593344808,0
Santee 190 50-75 LL-63,77,190,50_75,9/14/2021,11:49,47.9,0.425719053,0
Santee 190 75-100 LL-64,77,190,75_100,9/14/2021,11:55,50.4,0.321451008,0
Santee 195 0-10 LL-65,77,195,0_10,9/14/2021,12:01,49.6,8.589326859,0.293269455
Santee 195 10-20 LL-66,77,195,10_20,9/14/2021,12:06,47.3,2.245845556,0.052544493
Santee 195 20-30 LL-67,77,195,20_30,9/14/2021,12:30,49.21,1.035193324,0.009731947
Santee 195 30-50 LL-68,77,195,30_50,9/14/2021,12:35,47,0.517179847,0
Santee 195 50-75 LL-69,77,195,50_75,9/14/2021,12:41,47,0.443335086,0
Santee 195 75-100 LL-70,77,195,75_100,9/14/2021,12:47,50.6,0.323664308,0
Santee 230 0-10 LL-71,77,230,0_10,9/14/2021,12:53,49.1,5.141321182,0.159742668
Santee 230 10-20 LL-72,77,230,10_20,9/14/2021,12:58,50.8,2.823622465,0.075909287
Santee 230 20-30 LL-73,77,230,20_30,9/14/2021,13:10,50.5,2.725768328,0.076131977
Santee 230 30-50 LL-74,77,230,30_50,9/14/2021,13:16,50.6,0.71105504,0.001013773
Santee 230 50-75 LL-75,77,230,50_75,9/14/2021,13:21,51.5,0.413111895,0
Santee 230 75-100 LL-76,77,230,75_100,9/14/2021,13:27,46.5,0.323696733,0
Santee 230 75-100 LL-77,77,230,75_100,9/14/2021,13:33,51.2,0.319996864,0
Santee 230 75-100 LL-78,77,230,75_100,9/14/2021,13:39,49.3,0.327179402,0
